name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
richards,B,candidate,,second,16,16,True,0.012373566842870786,0.012440692647942342,1.0054249357460119,0.5424935746011883,0.9946043353878162,True,-3.079873369652471,1.1210861762282442,0.7734389387650908
richards_super,A,main,,second,8,8,True,0.014048253123958906,0.014239285798976199,1.0135983223915215,1.3598322391521478,0.9865841111896899,True,-2.4013767407992215,0.7760683768370881,4.25920504108907
scimark_fft,B,candidate,,second,1,1,True,0.1678559401227782,0.16132310080962878,0.9610806784176301,-3.891932158236988,1.0404953740683338,True,104.85207458151147,0.1611617788332798,0.2477450559117016
scimark_lu,B,candidate,,second,2,2,True,0.05292669841243575,0.052953001220400135,1.0004969667247976,0.04969667247975984,0.9995032801284501,False,-0.1618905293971164,1.93360134672758,1.3832487425280762
scimark_monte_carlo,B,candidate,,second,4,4,True,0.03480337597429752,0.034338262642268094,0.98663597082154,-1.3364029178460024,1.0135450455625818,True,7.869594252476182,0.32396234288292197,1.2921599738339649
scimark_sor,B,candidate,,second,2,2,True,0.05574878422388186,0.05631024411413819,1.0100712490518458,1.0071249051845754,0.9900291696637246,True,-12.76789335009616,0.25209697364659445,0.5510164255912235
scimark_sparse_mat_mult,B,candidate,,second,64,64,True,0.002905326186980043,0.002942663818248548,1.0128514420982504,1.2851442098250399,0.9873116218587525,True,-27.905663507425455,0.31567782156083274,0.16402800206897888
shortest_path,A,main,,second,1,1,True,0.335948213081186,0.34196563526056706,1.0179117552797545,1.7911755279754527,0.9824034301727542,True,-20.297001653479423,0.5636037073227654,0.37999641372916015
spectral_norm,A,main,,second,4,4,True,0.042076853367810446,0.02034229089040309,0.48345561186771896,-51.65443881322811,2.068442221896507,True,1271.1036494313562,0.2259813561571773,0.45325168884191436
sphinx,B,candidate,apps,second,1,1,True,0.6903527121214817,0.690154614780719,0.9997130490873949,-0.028695091260511063,1.000287033277066,False,0.028809896569830965,5.48785981505874,5.424300858887993
