PHASE imports
COMPILE calls=0 ok=0 ns=0
PROFILE method=1 op=_GUARD_CALLABLE_METHOD_DESCRIPTOR_FAST count=106970
PROFILE method=1 op=_GUARD_CALLABLE_METHOD_DESCRIPTOR_O count=106970
PROFILE method=1 op=_GUARD_DORV_NO_DICT count=801778
PROFILE method=1 op=_GUARD_GLOBALS_VERSION count=364754
PROFILE method=1 op=_GUARD_ITER_VIRTUAL count=255623
PROFILE method=1 op=_GUARD_NOS_INT count=1791538
PROFILE method=1 op=_GUARD_NOS_LIST count=1602610
PROFILE method=1 op=_GUARD_NOS_NOT_NULL count=41134
PROFILE method=1 op=_GUARD_NOS_NULL count=255769
PROFILE method=1 op=_GUARD_TOS_EXACT_INT count=108985
PROFILE method=1 op=_GUARD_TOS_INT count=3139074
PROFILE method=1 op=_GUARD_TOS_OVERFLOWED count=106970
PROFILE method=1 op=_GUARD_TYPE_VERSION count=9633831
PROFILE method=1 op=_GUARD_TYPE_VERSION_LOCKED count=801778
PROFILE method=1 op=_INIT_CALL_PY_EXACT_ARGS_1 count=39814
PROFILE method=1 op=_INIT_CALL_PY_EXACT_ARGS_2 count=183692
PROFILE method=1 op=_ITER_CHECK_LIST count=437754
PROFILE method=1 op=_ITER_NEXT_LIST_TIER_TWO count=399218
PROFILE method=1 op=_LOAD_ATTR_INSTANCE_VALUE count=8111665
PROFILE method=1 op=_LOAD_ATTR_METHOD_NO_DICT count=255074
PROFILE method=1 op=_LOAD_ATTR_METHOD_WITH_VALUES count=1267092
PROFILE method=1 op=_LOAD_ATTR_MODULE count=108985
PROFILE method=1 op=_LOAD_FAST_BORROW_0 count=5225062
PROFILE method=1 op=_LOAD_FAST_BORROW_1 count=3174817
PROFILE method=1 op=_LOAD_FAST_BORROW_2 count=3602198
PROFILE method=1 op=_LOAD_FAST_BORROW_3 count=365619
PROFILE method=1 op=_LOAD_GLOBAL_BUILTINS count=364754
PROFILE method=1 op=_LOAD_GLOBAL_MODULE count=897351
